facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date,hours_since_cleaning,risk_index,hygiene_risk
FAC-1194,West Zone,4.7,1.2,32.9,Yes,115,0,2026-07-14,52,4.288275826054504,High
FAC-1126,Central Zone,6.5,2.8,37.1,Yes,112,1,2026-05-07,15,0.9457035253490669,Low
FAC-1022,West Zone,5.5,4.6,53.2,Yes,122,0,2026-01-23,61,4.5151899019061945,High
FAC-1011,East Zone,7.9,4.4,79.3,Yes,125,2,2026-01-12,21,5.786714131423642,High
FAC-1156,West Zone,7.8,2.6,31.5,No,135,2,2026-06-06,24,0.06877514815815822,Low
FAC-1002,East Zone,7.8,3.2,36.9,Yes,133,1,2026-01-03,3,2.654950787798456,Low
FAC-1125,West Zone,8.2,3.3,41.2,Yes,123,3,2026-05-06,22,3.248824191372636,Low
FAC-1097,South Zone,6.4,2.2,43.2,Yes,110,1,2026-04-08,53,4.346734307665965,High
FAC-1066,South Zone,0.0,2.4,26.8,Yes,125,0,2026-03-08,2,2.3005739336828768,Low
FAC-1063,South Zone,7.0,1.9,61.5,Yes,118,3,2026-03-05,30,1.374315080373586,Low
FAC-1078,West Zone,8.6,4.7,33.9,Yes,136,3,2026-03-20,38,3.885912348425346,High
FAC-1099,North Zone,6.0,1.9,26.0,Yes,117,1,2026-04-10,2,2.810477009849779,Low
FAC-1108,East Zone,6.9,4.7,21.5,Yes,132,2,2026-04-19,64,3.850739275518815,High
FAC-1065,West Zone,7.3,2.1,26.8,Yes,126,3,2026-03-07,60,3.4406723142454636,High
FAC-1153,North Zone,6.6,5.9,25.0,Yes,102,1,2026-06-03,21,2.3349629176322635,Low
FAC-1160,East Zone,6.2,5.4,31.5,Yes,123,1,2026-06-10,33,3.9483805457415055,High
FAC-1024,North Zone,4.4,0.2,28.8,Yes,102,3,2026-01-25,58,3.7756087099480222,High
FAC-1102,West Zone,6.4,0.0,31.0,Yes,121,2,2026-04-13,22,1.1484728729604485,Low
FAC-1158,North Zone,6.0,2.2,34.7,Yes,113,5,2026-06-08,49,6.4826617667171345,High
FAC-1046,South Zone,5.6,2.8,49.8,Yes,111,1,2026-02-16,59,4.4667493813676815,High
FAC-1184,South Zone,8.6,2.6,50.3,Yes,134,3,2026-07-04,42,1.1590447541960267,Low
FAC-1197,North Zone,6.8,4.0,58.8,No,128,1,2026-07-17,60,4.8708304129507445,High
FAC-1146,West Zone,7.9,1.4,33.3,Yes,112,1,2026-05-27,15,0.4839774946590176,Low
FAC-1074,Central Zone,6.1,3.9,34.7,No,101,3,2026-03-16,62,5.089626905613677,High
FAC-1192,West Zone,6.5,4.8,35.1,No,123,5,2026-07-12,62,6.059893368511107,High
FAC-1132,West Zone,5.2,3.5,29.9,Yes,105,2,2026-05-13,47,2.4519765224724344,Low
FAC-1094,North Zone,6.8,2.2,14.8,Yes,125,4,2026-04-05,62,4.471064193866483,High
FAC-1102,West Zone,6.4,0.0,100.0,Yes,121,2,2026-04-13,51,4.509171390404747,High
FAC-1116,South Zone,9.4,3.0,26.3,Yes,103,3,2026-04-27,55,3.689090239991735,High
FAC-1183,South Zone,6.2,3.2,29.3,Yes,121,2,2026-07-03,64,6.311189473980921,High
FAC-1057,South Zone,5.7,2.7,62.7,Yes,130,1,2026-02-27,3,3.030917825995694,Low
FAC-1109,East Zone,7.8,2.5,23.5,Yes,900,2,2026-04-20,51,1.434395753463766,Low
FAC-1166,West Zone,9.3,4.0,58.3,No,120,2,2026-06-16,7,1.4117283555617146,Low
FAC-1198,Central Zone,7.0,3.0,34.5,No,126,5,2026-07-18,21,2.0762845725518426,Low
FAC-1129,Central Zone,10.0,3.7,44.2,Yes,130,2,2026-05-10,39,2.383347435878844,Low
FAC-1088,West Zone,6.0,3.4,60.0,Yes,123,2,2026-03-30,18,4.2417279622249655,High
FAC-1009,Central Zone,6.0,3.1,52.5,Yes,135,3,2026-01-10,4,3.930036198995029,High
FAC-1189,East Zone,8.3,2.3,51.2,Yes,116,3,2026-07-09,60,4.399774873554036,High
FAC-1082,Central Zone,5.0,4.6,73.9,Yes,130,0,2026-03-24,14,4.28750283781686,High
FAC-1120,South Zone,6.8,0.6,39.0,Yes,117,3,2026-05-01,9,4.610301115735975,High
FAC-1139,Central Zone,3.9,2.0,56.9,Yes,122,30,2026-05-20,53,8.101014750143065,High
FAC-1128,Central Zone,7.4,3.0,22.1,No,115,3,2026-05-09,2,6.5222537498844275,High
FAC-1060,South Zone,6.4,1.5,50.3,Yes,122,2,2026-03-02,60,4.299501021647509,High
FAC-1141,Central Zone,7.2,1.9,26.3,Yes,121,2,2026-05-22,71,1.5652636653755763,Low
FAC-1027,South Zone,7.2,4.0,69.8,Yes,131,1,2026-01-28,44,2.219661252908331,Low
FAC-1040,West Zone,7.2,2.0,48.7,Yes,112,5,2026-02-10,8,3.867708622864778,High
FAC-1045,North Zone,5.9,3.7,46.9,Yes,132,0,2026-02-15,47,3.2278058220112236,Low
FAC-1145,West Zone,7.6,3.0,35.1,Yes,128,0,2026-05-26,35,3.5930007411381384,High
FAC-1031,West Zone,7.7,1.2,30.9,Yes,129,1,2026-02-01,36,2.8278564368603174,Low
FAC-1163,North Zone,6.4,3.0,53.8,Yes,118,2,2026-06-13,50,3.5967566310146903,High
FAC-1032,West Zone,6.6,4.9,36.8,Yes,108,1,2026-02-02,4,1.9008094228973924,Low
FAC-1013,South Zone,6.6,1.4,47.4,Yes,121,2,2026-01-14,2,0.3657291629712027,Low
FAC-1121,West Zone,5.8,5.4,52.1,Yes,111,1,2026-05-02,6,3.1922275718994686,Low
FAC-1080,Central Zone,8.0,3.4,6.3,Yes,113,0,2026-03-22,54,3.4005981914852086,High
FAC-1134,East Zone,6.5,3.6,46.7,Yes,110,3,2026-05-15,4,3.6951406161953066,High
FAC-1028,West Zone,6.1,2.1,49.4,Yes,113,0,2026-01-29,54,1.3543918319320183,Low
FAC-1018,North Zone,8.8,2.6,36.8,Yes,149,2,2026-01-19,63,2.9357713887767725,Low
FAC-1114,North Zone,6.8,3.1,49.2,Yes,117,2,2026-04-25,18,3.776976069593255,High
FAC-1165,South Zone,5.1,3.0,54.3,No,125,3,2026-06-15,44,2.8702138456983013,Low
FAC-1154,East Zone,7.7,3.9,76.4,Yes,104,2,2026-06-04,34,4.063587658918292,High
FAC-1096,Central Zone,7.1,2.1,51.4,Yes,101,0,2026-04-07,62,3.130313077669,Low
FAC-1058,West Zone,9.0,1.8,12.1,Yes,109,1,2026-02-28,14,-0.4324554467459347,Low
FAC-1117,East Zone,6.3,5.5,43.7,No,114,3,2026-04-28,48,4.825681040522425,High
FAC-1095,East Zone,6.0,4.6,30.9,Yes,121,0,2026-04-06,15,3.959176789552351,High
FAC-1036,East Zone,7.9,4.0,50.3,Yes,118,4,2026-02-06,62,5.480576864762916,High
FAC-1085,North Zone,5.2,2.5,42.7,Yes,130,2,2026-03-27,40,5.199703078052354,High
FAC-1182,North Zone,6.4,1.1,43.5,Yes,127,2,2026-07-02,53,0.9884959480643634,Low
FAC-1051,West Zone,8.1,2.3,52.4,No,134,1,2026-02-21,24,1.176262440127316,Low
FAC-1173,West Zone,6.7,2.1,11.8,Yes,121,0,2026-06-23,26,2.78355290081299,Low
FAC-1143,West Zone,8.1,2.7,15.8,Yes,142,3,2026-05-24,60,3.3816789263683136,High
FAC-1084,North Zone,5.5,4.4,87.6,No,122,5,2026-03-26,41,6.1345715294590715,High
FAC-1170,North Zone,9.9,5.1,78.6,Yes,119,1,2026-06-20,29,9.096097235982082,High
