facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
FAC-1194,West Zone,4.7,1.2,32.9,Yes,115,0,2026-07-14
FAC-1126,Central Zone,6.5,2.8,37.1,Yes,112,1,2026-05-07
FAC-1022,West Zone,5.5,4.6,53.2,Yes,122,0,2026-01-23
FAC-1011,East Zone,7.9,4.4,79.3,Yes,125,2,2026-01-12
FAC-1156,West Zone,7.8,2.6,31.5,No,135,2,2026-06-06
FAC-1002,East Zone,7.8,3.2,36.9,Yes,133,1,2026-01-03
FAC-1125,West Zone,8.2,3.3,41.2,Yes,123,3,2026-05-06
FAC-1097,South Zone,6.4,2.2,43.2,Yes,110,1,2026-04-08
FAC-1066,South Zone,0.0,2.4,26.8,Yes,125,0,2026-03-08
FAC-1063,South Zone,7.0,1.9,61.5,Yes,118,3,2026-03-05
FAC-1078,West Zone,8.6,4.7,33.9,Yes,136,3,2026-03-20
FAC-1099,North Zone,6.0,1.9,26.0,Yes,117,1,2026-04-10
FAC-1108,East Zone,6.9,4.7,21.5,Yes,132,2,2026-04-19
FAC-1065,West Zone,7.3,2.1,26.8,Yes,126,3,2026-03-07
FAC-1153,North Zone,6.6,5.9,25.0,Yes,102,1,2026-06-03
FAC-1160,East Zone,6.2,5.4,31.5,Yes,123,1,2026-06-10
FAC-1024,North Zone,4.4,0.2,28.8,Yes,102,3,2026-01-25
FAC-1102,West Zone,6.4,0.0,31.0,Yes,121,2,2026-04-13
FAC-1158,North Zone,6.0,2.2,34.7,Yes,113,5,2026-06-08
FAC-1046,South Zone,5.6,2.8,49.8,Yes,111,1,2026-02-16
FAC-1184,South Zone,8.6,2.6,50.3,Yes,134,3,2026-07-04
FAC-1197,North Zone,6.8,4.0,58.8,No,128,1,2026-07-17
FAC-1146,West Zone,7.9,1.4,33.3,Yes,112,1,2026-05-27
FAC-1074,Central Zone,6.1,3.9,34.7,No,101,3,2026-03-16
FAC-1192,West Zone,6.5,4.8,35.1,No,123,5,2026-07-12
FAC-1132,West Zone,5.2,3.5,29.9,Yes,105,2,2026-05-13
FAC-1094,North Zone,6.8,2.2,14.8,Yes,125,4,2026-04-05
FAC-1102,West Zone,6.4,0.0,100.0,Yes,121,2,2026-04-13
FAC-1116,South Zone,9.4,3.0,26.3,Yes,103,3,2026-04-27
