facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date,inspection_year,inspection_month,inspection_day,hygiene_score,risk_score,risk
FAC-1194,West Zone,4.7,1.2,32.9,1,115,0,2026-07-14,2026,7,14,2.21,-0.20999999999999996,Low
FAC-1126,Central Zone,6.5,2.8,37.1,1,112,1,2026-05-07,2026,5,7,0.9900000000000002,1.0099999999999998,Low
FAC-1022,West Zone,5.5,4.6,53.2,1,122,0,2026-01-23,2026,1,23,-2.42,4.42,Low
FAC-1011,East Zone,7.9,4.4,79.3,1,125,2,2026-01-12,2026,1,12,-4.43,6.43,Low
FAC-1156,West Zone,7.8,2.6,31.5,0,135,2,2026-06-06,2026,6,6,0.0499999999999993,-0.04999999999999982,Low
FAC-1002,East Zone,7.8,3.2,36.9,1,133,1,2026-01-03,2026,1,3,1.91,0.09000000000000075,Low
FAC-1125,West Zone,8.2,3.3,41.2,1,123,3,2026-05-06,2026,5,6,-0.2200000000000006,2.2200000000000006,Low
FAC-1097,South Zone,6.4,2.2,43.2,1,110,1,2026-04-08,2026,4,8,0.8799999999999999,1.12,Low
FAC-1066,South Zone,0.0,2.4,26.8,1,125,0,2026-03-08,2026,3,8,-3.08,5.08,Low
FAC-1063,South Zone,7.0,1.9,61.5,1,118,3,2026-03-05,2026,3,5,-2.0500000000000007,4.050000000000001,Low
FAC-1078,West Zone,8.6,4.7,33.9,1,136,3,2026-03-20,2026,3,20,-0.4900000000000002,2.49,Low
FAC-1099,North Zone,6.0,1.9,26.0,1,117,1,2026-04-10,2026,4,10,2.5,-0.5,Low
FAC-1108,East Zone,6.9,4.7,21.5,1,132,2,2026-04-19,2026,4,19,0.0500000000000002,1.9499999999999993,Low
FAC-1065,West Zone,7.3,2.1,26.8,1,126,3,2026-03-07,2026,3,7,1.5199999999999996,0.4800000000000004,Low
FAC-1153,North Zone,6.6,5.9,25.0,1,102,1,2026-06-03,2026,6,3,-0.8000000000000007,2.8000000000000007,Low
FAC-1160,East Zone,6.2,5.4,31.5,1,123,1,2026-06-10,2026,6,10,-1.35,3.3500000000000005,Low
